id,ts_iso8601,source_file,gap_prev_global_sec,gap_prev_within_file_sec,session_id_within_file,session_key,gap_prev_within_session_sec,session_start_ts_iso8601,session_end_ts_iso8601,session_row_count,session_duration_sec,session_median_gap_sec,session_p90_gap_sec,cadence_family,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
18620855,2025-11-10T04:07:06.282000+0200,flic_button_data_export_20251110.csv,1.553,1.553,2,flic_button_data_export_20251110.csv::2,1.553,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-72,,60.378616,23.105226,0101000020E61000005BB05417F01A374005DF347D76304E40,,,,,,,,,,,
18620856,2025-11-10T04:07:07.806000+0200,flic_button_data_export_20251110.csv,1.524,1.524,2,flic_button_data_export_20251110.csv::2,1.524,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-57,,60.37845,23.105425,0101000020E6100000492EFF21FD1A3740EA95B20C71304E40,,,,,,,,,,,
18620857,2025-11-10T04:07:09.333000+0200,flic_button_data_export_20251110.csv,1.527,1.527,2,flic_button_data_export_20251110.csv::2,1.527,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-66,,60.378291,23.105637,0101000020E6100000603FC4060B1B374081AFE8D66B304E40,,,,,,,,,,,
18620858,2025-11-10T04:07:10.884000+0200,flic_button_data_export_20251110.csv,1.551,1.551,2,flic_button_data_export_20251110.csv::2,1.551,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-57,,60.378096,23.105955,0101000020E610000002D9EBDD1F1B3740CC5F217365304E40,,,,,,,,,,,
18620859,2025-11-10T04:07:12.840000+0200,flic_button_data_export_20251110.csv,1.956,1.956,2,flic_button_data_export_20251110.csv::2,1.956,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-59,20106.0,60.377956,23.106209,0101000020E6100000768A5583301B3740DAA9B9DC60304E40,,,,,,,,,,,
18620860,2025-11-10T04:07:14.373000+0200,flic_button_data_export_20251110.csv,1.533,1.533,2,flic_button_data_export_20251110.csv::2,1.533,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-60,,60.377825,23.10648,0101000020E610000097ADF545421B37403C4ED1915C304E40,,,,,,,,,,,
18620862,2025-11-10T04:07:17.423000+0200,flic_button_data_export_20251110.csv,3.05,3.05,2,flic_button_data_export_20251110.csv::2,3.05,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-59,,60.377585,23.107054,0101000020E6100000EFE714E4671B3740E73A8DB454304E40,,,,,,,,,,,
18621223,2025-11-10T04:07:20.848000+0200,flic_button_data_export_20251110.csv,3.425,3.425,2,flic_button_data_export_20251110.csv::2,3.425,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-60,,60.377314,23.107742,0101000020E6100000D767CEFA941B374056293DD34B304E40,,,,,,,,,,,
18621224,2025-11-10T04:07:22.379000+0200,flic_button_data_export_20251110.csv,1.531,1.531,2,flic_button_data_export_20251110.csv::2,1.531,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-60,,60.377197,23.108035,0101000020E6100000C8D2872EA81B37401D93C5FD47304E40,,,,,,,,,,,
18621225,2025-11-10T04:07:24.308000+0200,flic_button_data_export_20251110.csv,1.929,1.929,2,flic_button_data_export_20251110.csv::2,1.929,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-70,,60.37712,23.10823,0101000020E6100000327216F6B41B37407155D97745304E40,,,,,,,,,,,
